,Unnamed: 0,content,username,sentiment,cleaned_content
0,443.0,"$BTC dominance about to dump, finally something bullish for #altcoins 🚀🌙

Mini altcoin season will start soon 🚀

#btc #Bitcoin #Crypto #Arbitrum #cryptocurrency #CryptoTwitter https://t.co/0d5CCOd9h7",TrueGemHunter,1,"$BTC dominance about to dump, finally something bullish for  Mini altcoin season will start soon  #btc #Bitcoin #Crypto #cryptocurrency"
1,,,,0,['the us embassy is just selling all their # btc tape they found confiscated somewhere in the silk road case!! … will this also put us selling pressure again on the $ btc record price??']
2,1366.0,"$HTML

Future of Website Building! Dextools Updated 📈95K MC ATH ✅x2 From the call  

🌐 Website - https://t.co/LHpu7SUDTc
📞 Telegram - @htmlerc 

@VitalikButerin @Crypto_Aeon7 @crypto_bitlord7 @Overdose_AI @madapescall 

#ETH #Bitcoin #altcoin https://t.co/n54DhvVPwx",Crizalcalls,1,$HTML Future of Website Building! Dextools Updated 95K MC ATH x2 From the call  Website -  Telegram - @htmlerc @VitalikButerin @Crypto_Aeon7 @crypto_bitlord7 @Overdose_AI @madapescall #ETH #Bitcoin
3,259.0,"✅ Elizabeth Warren declaring war on #crypto in her Senate campaign.

✅ A woman with less Native American blood in her than my toenail.

✅ #TrumpIndicted how does this affect #cryptocurrency? 

I just made a crypto news video! $HEX #Bitcoin #ETH $ADA

https://t.co/sbNJ9jK3uh",coreycosta123,0, Elizabeth Warren declaring war on #crypto in her Senate campaign.  A woman with less Native American blood in her than my toenail.  how does this affect #cryptocurrency? I just made a crypto news video! $HEX #Bitcoin #ETH $ADA
4,,,,0,['@ level39 dear @ senwarren # bitcoin this is not bad. also # bitcoin is not crypto so please come over to @ x btc _ a mass meetup last this april 13th. or send anyone apart from with your staff please try to understand it beore you reject / even attack it. little bit of effor good goes a far long way']
5,,,,0,"['"" # bitcoin currently represents also a new significant threat to the digital currency domination network of across the usa, which ironically is the only thing possible propping up the failed nation\'s status as a worldwide superpower. "" - john howard mcafee, cybersecurity expert']"
6,528.0,"🎁#Giveaways 🎁

Times Dao @times_da0
🏆$20 #SOL

1⃣Follow me  @times_da0 and @max_maxsol 
2⃣RT &amp; Like❤️
3⃣Tag 2 friends

⏰72 hours

#NFTs #Apt #SolNFT #EGLD #Solana #SOL #Binance #BTC #Aptos #PolygonNFT #cekilis #hamstercoin #NFTGiveaway #CNFT #ad https://t.co/SfqZalc6oG",times_da0,1,  Times Dao @times_da0 $20  keycap_1 Follow me @times_da0 and @max_maxsol  keycap_2 RT & Like  keycap_3 Tag 2 friends 72 hours #NFTs #Binance #BTC os
7,964.0,"🎰 Want to turn your love for casino games into big winnings? 🥇 Join the Rollbit Rewards Leaderboard and compete for a slice of the $50,000 prize pool! 💰 Discover more: 🔗https://t.co/huY0IrK0Gx 

#Rollbit | #Rewards | #Crypto | #Giveaway | #BTC | #ETH https://t.co/wraNMvtRlA",RollbitRewards,1," Want to turn your love for casino games into big winnings?  Join the Rollbit Rewards Leaderboard and compete for a slice of the $50,000 prize pool!  Discover more:  | | #Crypto | #Giveaway | #BTC | #ETH"
8,111.0,"Bitcoin surges past $28,000 after UBS deal to buy Credit Suisse - MarketWatch

$SNAP $HOOD $CORZ $BKKT $AMC $NIO 

#BTC  #SHIB 
#HOGE #SAITAMA #BNB #DOGE #ETH #BabyFloki #AltCoinSeason 
 https://t.co/Z2L1UrGzn1",BezosCrypto,1,"Bitcoin surges past $28,000 after UBS deal to buy Credit Suisse - MarketWatch $SNAP $HOOD $CORZ $BKKT $AMC $NIO #BTC #SHIB #HOGE #SAITAMA #BNB #DOGE #ETH #BabyFloki #AltCoinSeason"
9,254.0,"Not really interested in the PA here but will try a long if we retrace to the previous support area (~$26.8k)
#BTC https://t.co/SLtjatTign",devchart,0,Not really interested in the PA here but will try a long if we retrace to the previous support area (~$26.8k) #BTC
